"","AGE_RANGE","COMMODITY","totalSPEND","totalsale","percent"
"46","25-34                                                                                                                                                                                                   ","SPECIALTY FOOD                ",7519.98,2383274.26,0.315531457130746
"47","25-34                                                                                                                                                                                                   ","DAIRY                         ",180561.11,2383274.26,7.57617841263472
"48","25-34                                                                                                                                                                                                   ","MEAT - PORK                   ",23261.87,2383274.26,0.976046709789916
"49","25-34                                                                                                                                                                                                   ","MEAT - BEEF                   ",81548.86,2383274.26,3.42171530019377
"50","25-34                                                                                                                                                                                                   ","CANNED GOODS                  ",36768.71,2383274.26,1.54278131632236
"51","25-34                                                                                                                                                                                                   ","TOBACCO PRODUCTS              ",12250.3,2383274.26,0.514011341690905
"52","25-34                                                                                                                                                                                                   ","COSMETICS                     ",6985.61,2383274.26,0.293109782505686
"53","25-34                                                                                                                                                                                                   ","MEAT - OTHER                  ",47765.53,2383274.26,2.00419778796251
"54","25-34                                                                                                                                                                                                   ","BULK PRODUCTS                 ",9160.86,2383274.26,0.384381275531419
"55","25-34                                                                                                                                                                                                   ","CLOTHING                      ",10835.11,2383274.26,0.454631268496979
"56","25-34                                                                                                                                                                                                   ","MEAT - CHICKEN                ",71942.7,2383274.26,3.01864964546715
"57","25-34                                                                                                                                                                                                   ","MEDICAL SUPPLIES              ",521.76,2383274.26,0.0218925706015891
"58","25-34                                                                                                                                                                                                   ","IN STORE FOOD SERVICE         ",57586.87,2383274.26,2.41629219794452
"59","25-34                                                                                                                                                                                                   ","BABY                          ",57052.5,2383274.26,2.39387052331946
"60","25-34                                                                                                                                                                                                   ","SEASONAL PRODUCTS             ",2774.66,2383274.26,0.11642218634124
"61","25-34                                                                                                                                                                                                   ","PET                           ",39335.64,2383274.26,1.65048734256879
"62","25-34                                                                                                                                                                                                   ","HOUSEHOLD                     ",144854.87,2383274.26,6.07797736211861
"63","25-34                                                                                                                                                                                                   ","ELECTRONICS                   ",2504.08,2383274.26,0.105068897945468
"64","25-34                                                                                                                                                                                                   ","PRODUCE                       ",189967.3,2383274.26,7.97085350974251
"65","25-34                                                                                                                                                                                                   ","SEAFOOD                       ",30679.84,2383274.26,1.28729792097029
"66","25-34                                                                                                                                                                                                   ","MEDICATION                    ",41695.49,2383274.26,1.74950448212368
"67","25-34                                                                                                                                                                                                   ","INTERNATIONAL FOOD            ",28615.66,2383274.26,1.20068682317745
"68","25-34                                                                                                                                                                                                   ","BAKERY                        ",91817.02,2383274.26,3.85255786717555
"69","25-34                                                                                                                                                                                                   ","OUTDOOR                       ",5342.07,2383274.26,0.224148352947008
"70","25-34                                                                                                                                                                                                   ","GROCERY STAPLE                ",500746.33,2383274.26,21.0108562998536
"71","25-34                                                                                                                                                                                                   ","ACTIVITY                      ",972.01,2383274.26,0.0407846472524735
"72","25-34                                                                                                                                                                                                   ","AUTO                          ",1426.77,2383274.26,0.0598659593629815
"73","25-34                                                                                                                                                                                                   ","TOYS                          ",5555.9,2383274.26,0.233120463441752
"74","25-34                                                                                                                                                                                                   ","MISC                          ",6537.09,2383274.26,0.274290295066586
"75","25-34                                                                                                                                                                                                   ","GIFT                          ",12724.52,2383274.26,0.533909177536285
"76","25-34                                                                                                                                                                                                   ","ALCOHOL                       ",106097.81,2383274.26,4.45176670518818
"77","25-34                                                                                                                                                                                                   ","BEVERAGE - NON WATER          ",130541.05,2383274.26,5.47738261562897
"78","25-34                                                                                                                                                                                                   ","PERSONAL CARE                 ",78707.93,2383274.26,3.30251248549128
"79","25-34                                                                                                                                                                                                   ","HOLIDAY                       ",3947.15,2383274.26,0.165618790344339
"80","25-34                                                                                                                                                                                                   ","FROZEN FOOD                   ",173818.36,2383274.26,7.29325881277297
"81","25-34                                                                                                                                                                                                   ","MEAT - POULTRY                ",1863.38,2383274.26,0.0781857141359802
"82","25-34                                                                                                                                                                                                   ","FLORAL                        ",18320.85,2383274.26,0.768726046661536
"83","25-34                                                                                                                                                                                                   ","MEAT - TURKEY                 ",12089.6,2383274.26,0.507268517220506
"84","25-34                                                                                                                                                                                                   ","MEAT - SAUSAGE                ",20606.21,2383274.26,0.864617654201493
"85","35-44                                                                                                                                                                                                   ","DRY GOODS                     ",98062.15,5814794.42999997,1.68642505217507
"86","35-44                                                                                                                                                                                                   ","DELI                          ",136504.72,5814794.42999997,2.34754163097733
"87","35-44                                                                                                                                                                                                   ","BEVERAGE - WATER              ",86116.23,5814794.42999997,1.48098494343506
"88","35-44                                                                                                                                                                                                   ","IN STORE FOOD SERVICE         ",122363.22,5814794.42999997,2.10434300770286
"89","35-44                                                                                                                                                                                                   ","SPECIALTY FOOD                ",20981.54,5814794.42999997,0.360830296798645
"90","35-44                                                                                                                                                                                                   ","DAIRY                         ",465815.02,5814794.42999997,8.01085963756078
"91","35-44                                                                                                                                                                                                   ","CANNED GOODS                  ",94620.42,5814794.42999997,1.62723585741621
"92","35-44                                                                                                                                                                                                   ","SEASONAL PRODUCTS             ",6400.53,5814794.42999997,0.110073194797362
"93","35-44                                                                                                                                                                                                   ","TOBACCO PRODUCTS              ",44846.79,5814794.42999997,0.77125323242081
"94","35-44                                                                                                                                                                                                   ","BULK PRODUCTS                 ",25607.47,5814794.42999997,0.440384785881418
"95","35-44                                                                                                                                                                                                   ","INTERNATIONAL FOOD            ",75478.38,5814794.42999997,1.29804038489458
"96","35-44                                                                                                                                                                                                   ","PRODUCE                       ",488557.3,5814794.42999997,8.40197028255051
"97","35-44                                                                                                                                                                                                   ","CLOTHING                      ",29580.32,5814794.42999997,0.508707923488881
"98","35-44                                                                                                                                                                                                   ","MEDICAL SUPPLIES              ",1499.04,5814794.42999997,0.0257797591651062
"99","35-44                                                                                                                                                                                                   ","ACTIVITY                      ",2558.21,5814794.42999997,0.0439948484988834
"100","35-44                                                                                                                                                                                                   ","TOYS                          ",12722.25,5814794.42999997,0.218791053633173
"101","35-44                                                                                                                                                                                                   ","PET                           ",88399.44,5814794.42999997,1.52025047599147
"102","35-44                                                                                                                                                                                                   ","MEAT - PORK                   ",58473.49,5814794.42999997,1.00559857625096
"103","35-44                                                                                                                                                                                                   ","ELECTRONICS                   ",4913.87,5814794.42999997,0.0845063408372293
"104","35-44                                                                                                                                                                                                   ","BEVERAGE - NON WATER          ",307296.65,5814794.42999997,5.28473798513977
"105","35-44                                                                                                                                                                                                   ","SEAFOOD                       ",79802.96,5814794.42999997,1.37241240358002
"106","35-44                                                                                                                                                                                                   ","COSMETICS                     ",21021.71,5814794.42999997,0.361521120876497
"107","35-44                                                                                                                                                                                                   ","MEDICATION                    ",87183.12,5814794.42999997,1.49933279756548
"108","35-44                                                                                                                                                                                                   ","ALCOHOL                       ",240323.96,5814794.42999997,4.13297431049512
"109","35-44                                                                                                                                                                                                   ","OUTDOOR                       ",11059.11,5814794.42999997,0.19018918266385
"110","35-44                                                                                                                                                                                                   ","MEAT - CHICKEN                ",174687.03,5814794.42999997,3.00418238517163
"111","35-44                                                                                                                                                                                                   ","GROCERY STAPLE                ",1250743.91,5814794.42999997,21.5096840491403
"112","35-44                                                                                                                                                                                                   ","HOUSEHOLD                     ",352758,5814794.42999997,6.06656012085369
"113","35-44                                                                                                                                                                                                   ","BABY                          ",86719.51,5814794.42999997,1.49135985878697
"114","35-44                                                                                                                                                                                                   ","MISC                          ",17834.96,5814794.42999997,0.306716947859498
"115","35-44                                                                                                                                                                                                   ","MEAT - BEEF                   ",205448.83,5814794.42999997,3.53320882575037
"116","35-44                                                                                                                                                                                                   ","HOLIDAY                       ",8672.83,5814794.42999997,0.1491511024922
"117","35-44                                                                                                                                                                                                   ","AUTO                          ",3435.61,5814794.42999997,0.0590839459822489
"118","35-44                                                                                                                                                                                                   ","PERSONAL CARE                 ",195185.01,5814794.42999997,3.35669665281703
"119","35-44                                                                                                                                                                                                   ","MEAT - OTHER                  ",115469.74,5814794.42999997,1.98579229910971
"120","35-44                                                                                                                                                                                                   ","FLORAL                        ",43869.51,5814794.42999997,0.754446447387139
"121","35-44                                                                                                                                                                                                   ","GIFT                          ",30189.05,5814794.42999997,0.519176565284014
"122","35-44                                                                                                                                                                                                   ","BAKERY                        ",220221.89,5814794.42999997,3.78726871003075
"123","35-44                                                                                                                                                                                                   ","MEAT - POULTRY                ",4136.96,5814794.42999997,0.0711454213868059
"124","35-44                                                                                                                                                                                                   ","MEAT - TURKEY                 ",28266.6,5814794.42999997,0.486115207343626
"125","35-44                                                                                                                                                                                                   ","FROZEN FOOD                   ",418634.54,5814794.42999997,7.19947274215165
"126","35-44                                                                                                                                                                                                   ","MEAT - SAUSAGE                ",48332.55,5814794.42999997,0.831199633655841
"127","45-54                                                                                                                                                                                                   ","SPECIALTY FOOD                ",41489.35,9154049.66999991,0.453234923292703
"128","45-54                                                                                                                                                                                                   ","DELI                          ",235313.08,9154049.66999991,2.57058994087807
"129","45-54                                                                                                                                                                                                   ","SEAFOOD                       ",125864.35,9154049.66999991,1.37495812823136
"130","45-54                                                                                                                                                                                                   ","SEASONAL PRODUCTS             ",7104.08,9154049.66999991,0.0776058712384075
"131","45-54                                                                                                                                                                                                   ","TOYS                          ",11804.6,9154049.66999991,0.128954948089113
"132","45-54                                                                                                                                                                                                   ","PRODUCE                       ",763602.580000001,9154049.66999991,8.34169146473517
"133","45-54                                                                                                                                                                                                   ","MEAT - CHICKEN                ",265798.72,9154049.66999991,2.90361894005326
"134","45-54                                                                                                                                                                                                   ","MEAT - OTHER                  ",175557.85,9154049.66999991,1.91781622701204
"135","45-54                                                                                                                                                                                                   ","TOBACCO PRODUCTS              ",68380.67,9154049.66999991,0.746999114764478
"136","45-54                                                                                                                                                                                                   ","DRY GOODS                     ",139007.83,9154049.66999991,1.51853917130866
"137","45-54                                                                                                                                                                                                   ","OUTDOOR                       ",20993,9154049.66999991,0.229330195452175
"138","45-54                                                                                                                                                                                                   ","MEDICAL SUPPLIES              ",3191,9154049.66999991,0.0348588888528505
"139","45-54                                                                                                                                                                                                   ","CLOTHING                      ",41973.35,9154049.66999991,0.458522200699403
"140","45-54                                                                                                                                                                                                   ","BABY                          ",103259.87,9154049.66999991,1.12802392080533
"141","45-54                                                                                                                                                                                                   ","MISC                          ",28576.83,9154049.66999991,0.312176916558071
"142","45-54                                                                                                                                                                                                   ","PET                           ",181705.48,9154049.66999991,1.98497371710243
"143","45-54                                                                                                                                                                                                   ","MEAT - PORK                   ",96357.99,9154049.66999991,1.05262690802071
"144","45-54                                                                                                                                                                                                   ","DAIRY                         ",664785.61,9154049.66999991,7.26220234721543
"145","45-54                                                                                                                                                                                                   ","BAKERY                        ",343986.02,9154049.66999991,3.75774692513771
"146","45-54                                                                                                                                                                                                   ","PERSONAL CARE                 ",321333.07,9154049.66999991,3.51028322528212
"147","45-54                                                                                                                                                                                                   ","MEDICATION                    ",150823.72,9154049.66999991,1.64761745279018
"148","45-54                                                                                                                                                                                                   ","COSMETICS                     ",34823.63,9154049.66999991,0.380417752310495
"149","45-54                                                                                                                                                                                                   ","CANNED GOODS                  ",139818.31,9154049.66999991,1.52739295765697
"150","45-54                                                                                                                                                                                                   ","MEAT - POULTRY                ",7220.28,9154049.66999991,0.0788752547810904
"151","45-54                                                                                                                                                                                                   ","GROCERY STAPLE                ",1892023.11,9154049.66999991,20.6687005009447
"152","45-54                                                                                                                                                                                                   ","BEVERAGE - WATER              ",133719.44,9154049.66999991,1.46076812799292
"153","45-54                                                                                                                                                                                                   ","BULK PRODUCTS                 ",43316.82,9154049.66999991,0.473198437429938
"154","45-54                                                                                                                                                                                                   ","BEVERAGE - NON WATER          ",458901.38,9154049.66999991,5.01309689747406
"155","45-54                                                                                                                                                                                                   ","MEAT - BEEF                   ",356624.57,9154049.66999991,3.89581204883285
"156","45-54                                                                                                                                                                                                   ","ELECTRONICS                   ",7147.2,9154049.66999991,0.0780769195891862
"157","45-54                                                                                                                                                                                                   ","IN STORE FOOD SERVICE         ",210775.22,9154049.66999991,2.30253524503764
"158","45-54                                                                                                                                                                                                   ","INTERNATIONAL FOOD            ",110047.48,9154049.66999991,1.20217263361213
"159","45-54                                                                                                                                                                                                   ","MEAT - SAUSAGE                ",75929.09,9154049.66999991,0.829459012537789
"160","45-54                                                                                                                                                                                                   ","HOLIDAY                       ",11427.16,9154049.66999991,0.124831745642037
"161","45-54                                                                                                                                                                                                   ","HOUSEHOLD                     ",588879.74,9154049.66999991,6.43299699290364
"162","45-54                                                                                                                                                                                                   ","ACTIVITY                      ",3685.62,9154049.66999991,0.0402621804869455
"163","45-54                                                                                                                                                                                                   ","AUTO                          ",6275.5,9154049.66999991,0.0685543581936896
"164","45-54                                                                                                                                                                                                   ","FLORAL                        ",66787.79,9154049.66999991,0.729598291550461
"165","45-54                                                                                                                                                                                                   ","FROZEN FOOD                   ",625567.39,9154049.66999991,6.83377753618859
"166","45-54                                                                                                                                                                                                   ","GIFT                          ",54918.77,9154049.66999991,0.599939611208167
"167","45-54                                                                                                                                                                                                   ","ALCOHOL                       ",490116.38,9154049.66999991,5.35409351782559
"168","45-54                                                                                                                                                                                                   ","MEAT - TURKEY                 ",45135.74,9154049.66999991,0.493068550282407
"169","55-64                                                                                                                                                                                                   ","MEAT - TURKEY                 ",33871.58,7400554.92999994,0.457689731653681
"170","55-64                                                                                                                                                                                                   ","MEDICAL SUPPLIES              ",3884.23,7400554.92999994,0.052485658666681
"171","55-64                                                                                                                                                                                                   ","MEDICATION                    ",135717.95,7400554.92999994,1.83388882703694
"172","55-64                                                                                                                                                                                                   ","MISC                          ",30889.86,7400554.92999994,0.417399239545949
"173","55-64                                                                                                                                                                                                   ","MEAT - POULTRY                ",7264.26,7400554.92999994,0.0981583147305963
"174","55-64                                                                                                                                                                                                   ","GIFT                          ",49419.4,7400554.92999994,0.667779652572627
"175","55-64                                                                                                                                                                                                   ","GROCERY STAPLE                ",1449378.66,7400554.92999994,19.5847294386613
"176","55-64                                                                                                                                                                                                   ","HOLIDAY                       ",9704.12,7400554.92999994,0.131126923477887
"177","55-64                                                                                                                                                                                                   ","SEAFOOD                       ",116772.88,7400554.92999994,1.57789356480056
"178","55-64                                                                                                                                                                                                   ","MEAT - SAUSAGE                ",65394.58,7400554.92999994,0.883644275578677
"179","55-64                                                                                                                                                                                                   ","BEVERAGE - NON WATER          ",366316.98,7400554.92999994,4.94985826691247
"180","55-64                                                                                                                                                                                                   ","BEVERAGE - WATER              ",95266.57,7400554.92999994,1.28728954654216
"181","55-64                                                                                                                                                                                                   ","OUTDOOR                       ",20835.02,7400554.92999994,0.281533211996579
"182","55-64                                                                                                                                                                                                   ","FLORAL                        ",61320.61,7400554.92999994,0.828594755123323
"183","55-64                                                                                                                                                                                                   ","FROZEN FOOD                   ",507243.98,7400554.92999994,6.85413438313611
"184","55-64                                                                                                                                                                                                   ","AUTO                          ",4917.06,7400554.92999994,0.0664417742521917
"185","55-64                                                                                                                                                                                                   ","HOUSEHOLD                     ",464224.45,7400554.92999994,6.2728329752429
"186","55-64                                                                                                                                                                                                   ","SEASONAL PRODUCTS             ",5163.99,7400554.92999994,0.0697784159275208
"187","55-64                                                                                                                                                                                                   ","ACTIVITY                      ",2550.59,7400554.92999994,0.0344648478948594
"188","55-64                                                                                                                                                                                                   ","ALCOHOL                       ",434882.55,7400554.92999994,5.87635054551245
"189","55-64                                                                                                                                                                                                   ","BULK PRODUCTS                 ",34938.96,7400554.92999994,0.472112704121234
"190","55-64                                                                                                                                                                                                   ","PERSONAL CARE                 ",229343.79,7400554.92999994,3.09900800911969
"191","55-64                                                                                                                                                                                                   ","TOBACCO PRODUCTS              ",82878.73,7400554.92999994,1.11989885601728
"192","55-64                                                                                                                                                                                                   ","TOYS                          ",9325.43,7400554.92999994,0.126009874775702
"193","55-64                                                                                                                                                                                                   ","BABY                          ",56297.9,7400554.92999994,0.760725385224598
"194","55-64                                                                                                                                                                                                   ","IN STORE FOOD SERVICE         ",181310.55,7400554.92999994,2.44995884382959
"195","55-64                                                                                                                                                                                                   ","SPECIALTY FOOD                ",30270.94,7400554.92999994,0.409036082919801
"196","55-64                                                                                                                                                                                                   ","MEAT - OTHER                  ",155931.14,7400554.92999994,2.10701956103177
"197","55-64                                                                                                                                                                                                   ","MEAT - PORK                   ",89462.47,7400554.92999994,1.20886164410918
"198","55-64                                                                                                                                                                                                   ","CANNED GOODS                  ",135654.06,7400554.92999994,1.83302551339891
"199","55-64                                                                                                                                                                                                   ","PET                           ",172294.62,7400554.92999994,2.32813108786697
"200","55-64                                                                                                                                                                                                   ","PRODUCE                       ",617387.34,7400554.92999994,8.34244655758545
"201","55-64                                                                                                                                                                                                   ","DRY GOODS                     ",107947.65,7400554.92999994,1.45864264262681
"202","55-64                                                                                                                                                                                                   ","BAKERY                        ",285311.08,7400554.92999994,3.8552660266519
"203","55-64                                                                                                                                                                                                   ","INTERNATIONAL FOOD            ",76529.44,7400554.92999994,1.03410407359818
"204","55-64                                                                                                                                                                                                   ","MEAT - BEEF                   ",296048.34,7400554.92999994,4.00035325459036
"205","55-64                                                                                                                                                                                                   ","MEAT - CHICKEN                ",201072.88,7400554.92999994,2.71699733198253
"206","55-64                                                                                                                                                                                                   ","ELECTRONICS                   ",5544.67,7400554.92999994,0.0749223545051107
"207","55-64                                                                                                                                                                                                   ","CLOTHING                      ",35007.45,7400554.92999994,0.473038175260193
"208","55-64                                                                                                                                                                                                   ","COSMETICS                     ",21869.48,7400554.92999994,0.295511352957422
"209","55-64                                                                                                                                                                                                   ","DAIRY                         ",530786.74,7400554.92999994,7.17225593243457
"210","55-64                                                                                                                                                                                                   ","DELI                          ",180321.95,7400554.92999994,2.43660038612809
"211","65-74                                                                                                                                                                                                   ","DELI                          ",92188.38,4000588.36000001,2.30437055013578
"212","65-74                                                                                                                                                                                                   ","TOBACCO PRODUCTS              ",49268.08,4000588.36000001,1.23152085559735
"213","65-74                                                                                                                                                                                                   ","MEAT - CHICKEN                ",99829.65,4000588.36000001,2.49537420540812
"214","65-74                                                                                                                                                                                                   ","MEAT - OTHER                  ",90899.54,4000588.36000001,2.27215428882565
"215","65-74                                                                                                                                                                                                   ","MEAT - PORK                   ",51198.18,4000588.36000001,1.27976625918094
"216","65-74                                                                                                                                                                                                   ","SPECIALTY FOOD                ",18577.64,4000588.36000001,0.46437269542023
"217","65-74                                                                                                                                                                                                   ","TOYS                          ",3941.29,4000588.36000001,0.0985177590228252
"218","65-74                                                                                                                                                                                                   ","IN STORE FOOD SERVICE         ",96316.62,4000588.36000001,2.40756137179782
"219","65-74                                                                                                                                                                                                   ","INTERNATIONAL FOOD            ",37376.81,4000588.36000001,0.934282826339073
"220","65-74                                                                                                                                                                                                   ","DRY GOODS                     ",52478.61,4000588.36000001,1.31177230141218
"221","65-74                                                                                                                                                                                                   ","HOLIDAY                       ",4326.72,4000588.36000001,0.108152091908801
"222","65-74                                                                                                                                                                                                   ","HOUSEHOLD                     ",257876.33,4000588.36000001,6.44596011372686
"223","65-74                                                                                                                                                                                                   ","MEAT - POULTRY                ",2892.54,4000588.36000001,0.0723028649715912
"224","65-74                                                                                                                                                                                                   ","GROCERY STAPLE                ",782830.97,4000588.36000001,19.5678960081761
"225","65-74                                                                                                                                                                                                   ","PRODUCE                       ",343371.22,4000588.36000001,8.58301802387886
"226","65-74                                                                                                                                                                                                   ","PERSONAL CARE                 ",113572.42,4000588.36000001,2.83889292723933
"227","65-74                                                                                                                                                                                                   ","PET                           ",80086.48,4000588.36000001,2.00186754530276
"228","65-74                                                                                                                                                                                                   ","MEAT - BEEF                   ",168591.36,4000588.36000001,4.21416413859685
"229","65-74                                                                                                                                                                                                   ","ELECTRONICS                   ",1681.99,4000588.36000001,0.0420435658119047
"230","65-74                                                                                                                                                                                                   ","OUTDOOR                       ",10209.52,4000588.36000001,0.255200462563961
"231","65-74                                                                                                                                                                                                   ","MEDICATION                    ",88673.65,4000588.36000001,2.21651522277588
"232","65-74                                                                                                                                                                                                   ","COSMETICS                     ",10411.09,4000588.36000001,0.260238971449689
"233","65-74                                                                                                                                                                                                   ","BULK PRODUCTS                 ",23097.97,4000588.36000001,0.577364325481364
"234","65-74                                                                                                                                                                                                   ","SEAFOOD                       ",66227.49,4000588.36000001,1.6554437507787
"235","65-74                                                                                                                                                                                                   ","MEDICAL SUPPLIES              ",1989.92,4000588.36000001,0.0497406836428429
"236","65-74                                                                                                                                                                                                   ","FLORAL                        ",26542.17,4000588.36000001,0.663456662159562
"237","65-74                                                                                                                                                                                                   ","BEVERAGE - WATER              ",45838.66,4000588.36000001,1.14579796457739
"238","65-74                                                                                                                                                                                                   ","CLOTHING                      ",14735.7,4000588.36000001,0.368338321116347
"239","65-74                                                                                                                                                                                                   ","SEASONAL PRODUCTS             ",2038.17,4000588.36000001,0.0509467562416244
"240","65-74                                                                                                                                                                                                   ","MISC                          ",19550.28,4000588.36000001,0.488685119305801
"241","65-74                                                                                                                                                                                                   ","DAIRY                         ",293207.16,4000588.36000001,7.32910096253941
"242","65-74                                                                                                                                                                                                   ","CANNED GOODS                  ",80876.18,4000588.36000001,2.02160714180551
"243","65-74                                                                                                                                                                                                   ","MEAT - SAUSAGE                ",32599.26,4000588.36000001,0.814861642001077
"244","65-74                                                                                                                                                                                                   ","ALCOHOL                       ",219755.74,4000588.36000001,5.49308552205055
"245","65-74                                                                                                                                                                                                   ","FROZEN FOOD                   ",283159.21,4000588.36000001,7.07793915592954
"246","65-74                                                                                                                                                                                                   ","GIFT                          ",26858.92,4000588.36000001,0.671374247561925
"247","65-74                                                                                                                                                                                                   ","BEVERAGE - NON WATER          ",181293.38,4000588.36000001,4.53166793696315
"248","65-74                                                                                                                                                                                                   ","ACTIVITY                      ",1447.38,4000588.36000001,0.0361791784046484
"249","65-74                                                                                                                                                                                                   ","BABY                          ",34760.65,4000588.36000001,0.868888445198595
"250","65-74                                                                                                                                                                                                   ","BAKERY                        ",169869.73,4000588.36000001,4.24611868840212
"251","65-74                                                                                                                                                                                                   ","MEAT - TURKEY                 ",18369.21,4000588.36000001,0.459162711756727
"252","65-74                                                                                                                                                                                                   ","AUTO                          ",1772.09,4000588.36000001,0.0442957345404064
"253","75+                                                                                                                                                                                                     ","DRY GOODS                     ",24885.88,1963332.16,1.26753284579212
"254","75+                                                                                                                                                                                                     ","MEAT - OTHER                  ",45627.54,1963332.16,2.32398475049683
"255","75+                                                                                                                                                                                                     ","DELI                          ",46356.01,1963332.16,2.3610885078152
"256","75+                                                                                                                                                                                                     ","ELECTRONICS                   ",944.38,1963332.16,0.0481008776426297
"257","75+                                                                                                                                                                                                     ","SEAFOOD                       ",31924.42,1963332.16,1.62603255070196
"258","75+                                                                                                                                                                                                     ","MEAT - CHICKEN                ",43402.5,1963332.16,2.21065497139312
"259","75+                                                                                                                                                                                                     ","MEAT - PORK                   ",27449.28,1963332.16,1.39809659105263
"260","75+                                                                                                                                                                                                     ","FROZEN FOOD                   ",154113.96,1963332.16,7.84961216139809
"261","75+                                                                                                                                                                                                     ","BULK PRODUCTS                 ",8041.58,1963332.16,0.409588360229376
"262","75+                                                                                                                                                                                                     ","SPECIALTY FOOD                ",16742.98,1963332.16,0.852783871273213
"263","75+                                                                                                                                                                                                     ","INTERNATIONAL FOOD            ",13977.2,1963332.16,0.711912140225931
