"","HSHD_NUM","Spending_2016","Spending_2017","Change","Trend","Spending","Units","Units_2016","Units_2017"
"30",2377,4673.19,5440.92,767.73,"increase",10114.11,3132,1472,1660
"31",4402,3551.55,4830.11,1278.56,"increase",8381.66,2113,859,1254
"32",4639,3128.05,4539.84,1411.79,"increase",7667.89,3007,1241,1766
"33",1398,0,88.05,88.05,"increase",88.05,27,0,27
"34",3891,7002.72,6327.29,-675.43,"increase",13330.01,3868,2067,1801
"35",4690,0,37.59,37.59,"increase",37.59,21,0,21
"36",4224,5471.45,5896.09,424.64,"increase",11367.54,3423,1730,1693
"37",4842,5569.41,5129.55,-439.86,"increase",10698.96,5836,3098,2738
"38",4843,5569.41,5129.55,-439.86,"increase",10698.96,5836,3098,2738
"39",934,716.88,743.09,26.21,"increase",1459.97,424,189,235
"40",3686,1885.9,3054.66,1168.76,"increase",4940.56,2370,827,1543
"41",4181,1922.66,2717.33,794.67,"increase",4639.99,1861,763,1098
"42",1314,4815.02,5750.04,935.02,"increase",10565.06,3571,1570,2001
"43",2867,6637.29,6530.93,-106.36,"increase",13168.22,7196,3587,3609
"44",2891,2320.8,2773.73,452.93,"increase",5094.53,2210,1154,1056
"45",1499,375.29,543.04,167.75,"increase",918.33,277,86,191
"46",1763,4230.43,2052.52,-2177.91,"increase",6282.95,2224,1463,761
"47",936,3239.97,3401.17,161.2,"increase",6641.14,1966,903,1063
"48",1592,3067.46,2569.24,-498.22,"increase",5636.7,2129,1087,1042
"49",4762,4932.31,11093.61,6161.3,"increase",16025.92,5868,2285,3583
"50",245,32.81,0,-32.81,"increase",32.81,10,10,0
"51",4498,1753.01,1890.99,137.98,"increase",3644,1743,849,894
"52",124,0,44.37,44.37,"increase",44.37,17,0,17
"53",1521,7412.05,7767.56,355.51,"increase",15179.61,6527,3288,3239
"54",1934,3427.37,3923.19,495.82,"increase",7350.56,2249,958,1291
"55",2990,956.45,180.5,-775.95,"increase",1136.95,394,335,59
"56",4412,3965.97,3387.21,-578.76,"increase",7353.18,2992,1572,1420
"57",1726,4452.03,6240.13,1788.1,"increase",10692.16,4010,1613,2397
"58",2384,6649.43,7179.56,530.13,"increase",13828.99,5213,2442,2771
"59",2918,3947.99,8121.62,4173.63,"increase",12069.61,6987,2716,4271
"60",3502,0,14.55,14.55,"increase",14.55,5,0,5
"61",4682,4274.64,2795.92,-1478.72,"increase",7070.56,1846,1069,777
"62",269,6442.46,7823.74,1381.28,"increase",14266.2,5454,2504,2950
"63",880,4796.1,5385.47,589.37,"increase",10181.57,3265,1549,1716
"64",3395,3192.3,3447.95,255.65,"increase",6640.25,2581,1288,1293
"65",1096,1316.14,1279.1,-37.0400000000002,"increase",2595.24,952,464,488
"66",4811,6306.67,5391.51,-915.16,"increase",11698.18,3390,1820,1570
"67",4357,2512.58,2808.91,296.33,"increase",5321.49,2098,1016,1082
"68",4474,4293.22,4559.78,266.559999999999,"increase",8853,2879,1391,1488
"69",1549,3296.86,4755.89,1459.03,"increase",8052.75,4701,1894,2807
"70",20,193.47,3.34,-190.13,"increase",196.81,48,47,1
"71",25,2413.69,2913.51,499.82,"increase",5327.2,2031,971,1060
"72",50,0,142.47,142.47,"increase",142.47,69,0,69
"73",71,4273.62,4419.62,146,"increase",8693.24,2957,1391,1566
"74",73,37.39,40.24,2.85,"increase",77.63,26,17,9
"75",78,0,161.36,161.36,"increase",161.36,70,0,70
"76",86,1098.19,1284.99,186.8,"increase",2383.18,738,349,389
"77",89,0,27.8,27.8,"increase",27.8,11,0,11
"78",90,5859.73,5400.86,-458.870000000001,"increase",11260.59,4821,2523,2298
"79",91,1516.97,2789.27,1272.3,"increase",4306.24,1756,604,1152
"80",94,3857.9,3282.97,-574.93,"increase",7140.87,2110,1149,961
"81",105,7418.53,7555.35,136.820000000001,"increase",14973.88,5608,2827,2781
"82",113,1308.77,2664.46,1355.69,"increase",3973.23,1631,550,1081
"83",114,7.07,4.27,-2.8,"increase",11.34,9,6,3
"84",120,130.2,18.87,-111.33,"increase",149.07,53,50,3
"85",126,1977.95,1654.92,-323.03,"increase",3632.87,1621,887,734
"86",140,2322.81,3447.98,1125.17,"increase",5770.79,1663,661,1002
"87",148,0,5,5,"increase",5,2,0,2
"88",161,4343.78,6300.67,1956.89,"increase",10644.45,4293,1798,2495
"89",164,2100.16,2565.89,465.73,"increase",4666.05,1610,754,856
"90",176,6414.39,5424.81,-989.58,"increase",11839.2,4134,2256,1878
"91",181,3518.62,3125.72,-392.9,"increase",6644.34,2397,1297,1100
"92",186,3149,2787.31,-361.69,"increase",5936.31,1656,917,739
"93",191,0,65.74,65.74,"increase",65.74,24,0,24
"94",206,8854.4,10272.33,1417.93,"increase",19126.73,5816,2821,2995
"95",227,0,48.54,48.54,"increase",48.54,24,0,24
"96",230,0,24.45,24.45,"increase",24.45,11,0,11
"97",253,0,49.61,49.61,"increase",49.61,8,0,8
"98",259,0,196.32,196.32,"increase",196.32,81,0,81
"99",267,0,47.24,47.24,"increase",47.24,11,0,11
"100",280,184.03,0,-184.03,"increase",184.03,52,52,0
"101",284,0,26.71,26.71,"increase",26.71,8,0,8
"102",312,4356.54,4133,-223.54,"increase",8489.54,2904,1515,1389
"103",318,195.23,201.59,6.36000000000001,"increase",396.82,165,80,85
"104",325,6791.9,5276.06,-1515.84,"increase",12067.96,4213,2181,2032
"105",333,0,12.98,12.98,"increase",12.98,2,0,2
"106",341,38.97,46.53,7.56,"increase",85.5,18,4,14
"107",355,0,81.43,81.43,"increase",81.43,25,0,25
"108",366,149.22,17.03,-132.19,"increase",166.25,60,53,7
"109",370,0,77.05,77.05,"increase",77.05,26,0,26
"110",376,2764.22,5511.74,2747.52,"increase",8275.96,3341,1164,2177
"111",380,0,5.26,5.26,"increase",5.26,4,0,4
"112",398,0,64.93,64.93,"increase",64.93,23,0,23
"113",399,61.8,0,-61.8,"increase",61.8,32,32,0
"114",421,0,101.78,101.78,"increase",101.78,29,0,29
"115",430,0,18.26,18.26,"increase",18.26,4,0,4
"116",434,480.71,776.05,295.34,"increase",1256.76,518,213,305
"117",455,8127.1,8831.07,703.969999999999,"increase",16958.17,5351,2486,2865
"118",457,44.88,31.47,-13.41,"increase",76.35,36,14,22
"119",463,1426.13,1658.93,232.8,"increase",3085.06,605,287,318
"120",473,2,0,-2,"increase",2,2,2,0
"121",476,6843.47,6031.35,-812.12,"increase",12874.82,3354,1678,1676
"122",482,4.99,0,-4.99,"increase",4.99,1,1,0
"123",494,0,545.54,545.54,"increase",545.54,168,0,168
"124",515,11.99,0,-11.99,"increase",11.99,1,1,0
"125",516,2524.44,2208.79,-315.65,"increase",4733.23,2477,1362,1115
"126",520,242.91,243.92,1.01000000000002,"increase",486.83,144,86,58
"127",527,2835.42,2207.02,-628.4,"increase",5042.44,2205,1266,939
"128",540,0,71.19,71.19,"increase",71.19,24,0,24
"129",541,31.21,3.66,-27.55,"increase",34.87,16,12,4
"130",544,5360.09,5276.46,-83.6300000000001,"increase",10636.55,4267,2138,2129
"131",555,7218.66,6888.39,-330.27,"increase",14107.05,4437,2284,2153
"132",562,745.25,1740.04,994.79,"increase",2485.29,881,314,567
"133",574,2409.92,2757.47,347.55,"increase",5167.39,2457,1153,1304
"134",577,4670.78,3442.7,-1228.08,"increase",8113.48,2857,1705,1152
"135",593,1524.28,1144.14,-380.14,"increase",2668.42,985,561,424
"136",604,694.04,1290.31,596.27,"increase",1984.35,410,167,243
"137",611,7171.26,7025.15,-146.11,"increase",14196.41,3949,2087,1862
"138",617,1940.77,1800.06,-140.71,"increase",3740.83,2638,1330,1308
"139",643,4155.69,3949.97,-205.719999999999,"increase",8105.66,3079,1681,1398
"140",646,187.57,177.67,-9.89999999999998,"increase",365.24,92,30,62
"141",650,549.32,410.11,-139.21,"increase",959.43,1407,824,583
"142",661,2211.29,2753.97,542.68,"increase",4965.26,1867,851,1016
"143",687,3842.49,2515.01,-1327.48,"increase",6357.5,1852,1117,735
"144",707,0,11.67,11.67,"increase",11.67,4,0,4
"145",716,4222.24,4055.97,-166.27,"increase",8278.21,3050,1569,1481
"146",752,2817.5,3529.98,712.48,"increase",6347.48,2433,1168,1265
"147",760,4964.46,5308.97,344.51,"increase",10273.43,3774,1986,1788
"148",765,2856.41,3071.17,214.76,"increase",5927.58,1737,872,865
"149",791,3750.08,3604.76,-145.32,"increase",7354.84,2282,1178,1104
"150",799,3067.42,2435.03,-632.39,"increase",5502.45,2333,1274,1059
"151",809,3930.7,2017.04,-1913.66,"increase",5947.74,2257,1414,843
"152",814,1611.94,1755.05,143.11,"increase",3366.99,1503,694,809
"153",841,3679.79,30.99,-3648.8,"increase",3710.78,1186,1185,1
"154",866,2160.03,3148.55,988.52,"increase",5308.58,1387,604,783
"155",870,3264.84,3557.72,292.88,"increase",6822.56,2225,1067,1158
"156",876,4234.46,2825.39,-1409.07,"increase",7059.85,2805,1700,1105
"157",883,0,30.55,30.55,"increase",30.55,10,0,10
"158",901,24.98,186.83,161.85,"increase",211.81,36,6,30
"159",914,7083.87,9050.27,1966.4,"increase",16134.14,4952,2503,2449
"160",930,1769.05,2896.76,1127.71,"increase",4665.81,1405,556,849
"161",945,13983.34,11986.11,-1997.23,"increase",25969.45,8806,4901,3905
"162",947,4480.54,5345.91,865.37,"increase",9826.45,2901,1308,1593
"163",950,1972.19,2447.35,475.16,"increase",4419.54,2139,957,1182
"164",967,4290.15,4523.82,233.67,"increase",8813.97,3452,1721,1731
"165",971,3383.01,2058.33,-1324.68,"increase",5441.34,1753,1040,713
"166",973,3739.16,4014.99,275.83,"increase",7754.15,4440,2163,2277
"167",977,2840.78,2845.8,5.01999999999998,"increase",5686.58,2638,1313,1325
"168",980,16244.96,12175.54,-4069.42,"increase",28420.5,12129,6557,5572
"169",991,2237.49,2268.69,31.1999999999998,"increase",4506.18,2480,1177,1303
"170",1000,2267.45,2522.62,255.17,"increase",4790.07,1915,922,993
"171",1003,6692.23,7069.98,377.75,"increase",13762.21,3189,1531,1658
"172",1006,3093.44,3246.5,153.06,"increase",6339.94,2886,1429,1457
"173",1016,5097.94,5182.91,84.9699999999993,"increase",10280.85,3776,1969,1807
"174",1023,5582.57,4939.29,-643.28,"increase",10521.86,3674,1944,1730
"175",1025,4136.33,2979.57,-1156.76,"increase",7115.9,2386,1440,946
"176",1052,132.29,0,-132.29,"increase",132.29,50,50,0
"177",1061,1145.06,1281.63,136.57,"increase",2426.69,620,303,317
"178",1117,2252.27,2513.86,261.59,"increase",4766.13,2655,1317,1338
"179",1128,0,178.88,178.88,"increase",178.88,23,0,23
"180",1149,5838.97,6003.41,164.44,"increase",11842.38,3029,1535,1494
"181",1151,1730.2,1043.05,-687.15,"increase",2773.25,838,543,295
"182",1159,6720.38,7834.2,1113.82,"increase",14554.58,4971,2411,2560
"183",1173,1595.75,2059.82,464.07,"increase",3655.57,1479,670,809
"184",1182,1643.7,1451.13,-192.57,"increase",3094.83,1310,739,571
"185",1227,3058.12,3498.87,440.75,"increase",6556.99,2314,1081,1233
"186",1238,5842.89,8266.61,2423.72,"increase",14109.5,4408,1854,2554
"187",1240,6340.71,6208.87,-131.84,"increase",12549.58,4422,2257,2165
"188",1255,3881.16,5358.1,1476.94,"increase",9239.26,3776,1665,2111
"189",1258,2165.63,2599.47,433.84,"increase",4765.1,2416,1180,1236
"190",1267,3256.74,3570.14,313.4,"increase",6826.88,2626,1284,1342
"191",1285,3189.16,3368.82,179.66,"increase",6557.98,2646,1273,1373
"192",1287,2353.98,2329.92,-24.0599999999999,"increase",4683.9,1374,726,648
"193",1291,107.23,0,-107.23,"increase",107.23,23,23,0
"194",1298,4658.58,3750.34,-908.24,"increase",8408.92,2943,1698,1245
"195",1299,7550.2,6598.8,-951.4,"increase",14149,4621,2437,2184
"196",1310,3000.15,4028.29,1028.14,"increase",7028.44,2713,1242,1471
"197",1318,9793.21,4586.67,-5206.54,"increase",14379.88,4052,2818,1234
"198",1320,46.1,0,-46.1,"increase",46.1,5,5,0
"199",1335,5439.64,6529.51,1089.87,"increase",11969.15,4818,2336,2482
"200",1344,0,4.97,4.97,"increase",4.97,3,0,3
"201",1352,0,67.31,67.31,"increase",67.31,26,0,26
"202",1360,2465.33,2551.25,85.9200000000001,"increase",5016.58,1334,698,636
"203",1361,5055.23,5496.75,441.52,"increase",10551.98,3277,1540,1737
"204",1365,0,23.15,23.15,"increase",23.15,10,0,10
"205",1396,4966.09,5089.26,123.17,"increase",10055.35,3111,1513,1598
"206",1417,4693.49,5091.24,397.75,"increase",9784.73,4067,1843,2224
"207",1424,4427.83,4610.75,182.92,"increase",9038.58,2885,1430,1455
"208",1435,6067.21,5999.43,-67.7799999999997,"increase",12066.64,4714,2675,2039
"209",1439,5830.87,2696.35,-3134.52,"increase",8527.22,2144,1346,798
"210",1456,3588.74,3991.85,403.11,"increase",7580.59,3396,1605,1791
"211",1458,3696.99,4478.98,781.99,"increase",8175.97,2664,1264,1400
"212",1459,2089.07,1806.66,-282.41,"increase",3895.73,1424,763,661
"213",1462,0,4.29,4.29,"increase",4.29,1,0,1
"214",1477,2529.57,2553.84,24.27,"increase",5083.41,2001,987,1014
"215",1485,16829.32,11610.08,-5219.24,"increase",28439.4,9559,5644,3915
"216",1490,6229.51,6354.7,125.19,"increase",12584.21,4023,1915,2108
"217",1493,5929.83,6927.9,998.070000000001,"increase",12857.73,3511,1716,1795
"218",1494,4629.87,5232.17,602.3,"increase",9862.04,3917,1803,2114
"219",1498,6110.16,7295.4,1185.24,"increase",13405.56,5293,2435,2858
"220",1503,0,120.21,120.21,"increase",120.21,45,0,45
"221",1512,3670.8,3202.03,-468.77,"increase",6872.83,2129,1174,955
"222",1513,224.93,0,-224.93,"increase",224.93,94,94,0
"223",1547,4771.88,7809.09,3037.21,"increase",12580.97,5129,1959,3170
"224",1553,3241.36,3676.18,434.82,"increase",6917.54,2439,1058,1381
"225",1565,2495.4,3056.23,560.83,"increase",5551.63,1892,862,1030
"226",1573,7209.04,6360.66,-848.38,"increase",13569.7,4593,2398,2195
"227",1576,32.18,0,-32.18,"increase",32.18,2,2,0
"228",1578,6760.97,8149.14,1388.17,"increase",14910.11,4885,2129,2756
"229",1589,9582.97,7537.24,-2045.73,"increase",17120.21,4760,2668,2092
"230",1595,6184.59,6293.64,109.05,"increase",12478.23,4693,2403,2290
"231",1601,3419.37,3292.82,-126.55,"increase",6712.19,2384,1251,1133
"232",1605,3031.77,2146.37,-885.4,"increase",5178.14,1632,977,655
"233",1607,4861.97,5001.6,139.63,"increase",9863.57,2272,1060,1212
"234",1612,0,53.63,53.63,"increase",53.63,28,0,28
"235",1624,34.41,0,-34.41,"increase",34.41,15,15,0
"236",1637,5673.61,7085.1,1411.49,"increase",12758.71,6457,2844,3613
"237",1649,2659.99,1927.7,-732.29,"increase",4587.69,782,439,343
"238",1658,0,36.92,36.92,"increase",36.92,15,0,15
"239",1665,10.62,41.03,30.41,"increase",51.65,13,4,9
"240",1666,2783.97,2725.23,-58.7399999999998,"increase",5509.2,2724,1397,1327
"241",1667,1264.21,13.95,-1250.26,"increase",1278.16,608,603,5
"242",1671,4580.23,5228.82,648.589999999999,"increase",9809.05,3479,1578,1901
"243",1674,4465.93,4455.99,-9.94000000000051,"increase",8921.92,3768,1991,1777
"244",1679,3553.82,3344.83,-208.99,"increase",6898.65,2803,1455,1348
"245",1685,5565.5,4446.64,-1118.86,"increase",10012.14,3645,2172,1473
"246",1693,67.52,0,-67.52,"increase",67.52,24,24,0
"247",1697,7674.01,6564.96,-1109.05,"increase",14238.97,4017,2156,1861
"248",1712,7016.64,6588.84,-427.8,"increase",13605.48,3628,1790,1838
"249",1713,3072.07,1878.7,-1193.37,"increase",4950.77,1620,868,752
"250",1714,2240.95,2055.86,-185.09,"increase",4296.81,1746,918,828
"251",1715,3061.09,4472.95,1411.86,"increase",7534.04,2085,838,1247
"252",1716,4122.58,4193.54,70.96,"increase",8316.12,3206,1568,1638
"253",1717,848.78,3627.23,2778.45,"increase",4476.01,1784,311,1473
"254",1720,2712.04,5778.33,3066.29,"increase",8490.37,3064,1144,1920
"255",1724,1305.42,968.58,-336.84,"increase",2274,776,452,324
"256",1734,6444.8,5945.88,-498.92,"increase",12390.68,4127,2143,1984
"257",1736,2927.69,3458.02,530.33,"increase",6385.71,2712,1299,1413
"258",1743,6894.37,7382.92,488.55,"increase",14277.29,4997,2418,2579
"259",1745,5119.16,5210.36,91.1999999999998,"increase",10329.52,3450,1690,1760
"260",1747,0,98.5,98.5,"increase",98.5,41,0,41
"261",1752,614.23,1189.36,575.13,"increase",1803.59,918,293,625
"262",1767,0,18.56,18.56,"increase",18.56,7,0,7
"263",1768,6221.23,6894.73,673.5,"increase",13115.96,4687,2242,2445
"264",1772,2515.88,4846.6,2330.72,"increase",7362.48,2640,802,1838
"265",1775,2529.25,1942.46,-586.79,"increase",4471.71,1491,876,615
"266",1784,3145.46,3044.45,-101.01,"increase",6189.91,1939,1029,910
"267",1785,581,609.05,28.05,"increase",1190.05,361,157,204
"268",1788,3655.31,4733.23,1077.92,"increase",8388.54,3419,1343,2076
"269",1792,2182.84,2099.63,-83.21,"increase",4282.47,1564,767,797
"270",1798,3834.8,6641.28,2806.48,"increase",10476.08,3110,1240,1870
"271",1801,4585.63,5571.72,986.09,"increase",10157.35,3585,1673,1912
"272",1805,2449.61,2441.25,-8.36000000000013,"increase",4890.86,1978,1029,949
"273",1830,1464.13,1335.97,-128.16,"increase",2800.1,1385,742,643
"274",1838,5649.3,4705.26,-944.04,"increase",10354.56,3557,1905,1652
"275",1840,4918.24,4760.97,-157.27,"increase",9679.21,2753,1389,1364
"276",1851,4415.01,3390.22,-1024.79,"increase",7805.23,3510,1762,1748
"277",1852,0,126.54,126.54,"increase",126.54,52,0,52
"278",1860,5467.3,5784.97,317.67,"increase",11252.27,5820,2997,2823
"279",1867,4030.33,5414.58,1384.25,"increase",9444.91,3334,1424,1910
"280",1873,4319.73,4040.66,-279.070000000001,"increase",8360.39,2717,1414,1303
"281",1874,2.69,36.97,34.28,"increase",39.66,5,1,4
"282",1875,3306.16,2736.29,-569.87,"increase",6042.45,2901,1592,1309
"283",1878,45.88,0,-45.88,"increase",45.88,10,10,0
"284",1880,3871.74,4875.43,1003.69,"increase",8747.17,3871,1771,2100
"285",1885,2879.32,3078.74,199.42,"increase",5958.06,2035,899,1136
"286",1888,2168.98,1913.78,-255.2,"increase",4082.76,1825,950,875
"287",1891,4252.81,4570.76,317.95,"increase",8823.57,3468,1660,1808
"288",1897,10.55,3.08,-7.47,"increase",13.63,7,5,2
"289",1900,0,74.63,74.63,"increase",74.63,20,0,20
"290",1903,0,11.83,11.83,"increase",11.83,6,0,6
"291",1917,3776.98,4278.95,501.97,"increase",8055.93,4407,2095,2312
"292",1919,122.4,86.45,-35.95,"increase",208.85,106,61,45
"293",1929,8935.6,7368.03,-1567.57,"increase",16303.63,5210,2884,2326
"294",1930,6397.54,6989.69,592.150000000001,"increase",13387.23,5486,2661,2825
"295",1933,3911.47,6886.71,2975.24,"increase",10798.18,2836,1040,1796
"296",1941,0,13.16,13.16,"increase",13.16,4,0,4
"297",1951,1448.56,523.73,-924.83,"increase",1972.29,535,370,165
"298",1957,14301.56,16777.8,2476.24,"increase",31079.36,8341,3967,4374
"299",1964,225.67,0,-225.67,"increase",225.67,94,94,0
"300",1986,39.46,6.29,-33.17,"increase",45.75,22,17,5
"301",1995,2104.54,2186.49,81.9500000000003,"increase",4291.03,1560,753,807
"302",1998,3674.88,4812.83,1137.95,"increase",8487.71,3977,1711,2266
"303",2000,2579.23,2685.21,105.98,"increase",5264.44,3060,1462,1598
"304",2008,2180.75,2143.32,-37.4299999999998,"increase",4324.07,2468,1285,1183
"305",2009,3649.48,3520.51,-128.97,"increase",7169.99,2914,1593,1321
"306",2021,3317.29,2471.8,-845.49,"increase",5789.09,1969,1231,738
"307",2027,2782.05,4153.03,1370.98,"increase",6935.08,2127,780,1347
"308",2029,3488.45,4998.38,1509.93,"increase",8486.83,4091,1613,2478
"309",2072,2216.57,1559.47,-657.1,"increase",3776.04,1628,913,715
"310",2073,2479.07,2139.85,-339.22,"increase",4618.92,1811,920,891
"311",2077,0,50.73,50.73,"increase",50.73,18,0,18
"312",2079,5.99,0,-5.99,"increase",5.99,1,1,0
"313",2080,4.87,0,-4.87,"increase",4.87,1,1,0
"314",2085,4207,6956.79,2749.79,"increase",11163.79,4916,1987,2929
"315",2090,2733.68,3236.93,503.25,"increase",5970.61,2341,1164,1177
"316",2101,3512.81,2571.48,-941.33,"increase",6084.29,1937,1217,720
"317",2105,6171.1,6292.5,121.4,"increase",12463.6,3156,1442,1714
"318",2108,6385,7600.03,1215.03,"increase",13985.03,5321,2504,2817
"319",2111,3899.34,5420.16,1520.82,"increase",9319.5,3184,1486,1698
"320",2114,3260.6,2027.26,-1233.34,"increase",5287.86,1493,954,539
"321",2115,2473.27,2799.4,326.13,"increase",5272.67,1807,862,945
"322",2119,8431.28,9033.76,602.48,"increase",17465.04,5683,2662,3021
"323",2133,2759.56,2323.16,-436.4,"increase",5082.72,1597,887,710
"324",2146,4489.21,4703.25,214.04,"increase",9192.46,3094,1382,1712
"325",2149,5596.05,5301.91,-294.14,"increase",10897.96,3915,2091,1824
"326",2151,2879.11,2940.8,61.6900000000001,"increase",5819.91,2145,1067,1078
"327",2152,11904.55,11928.25,23.7000000000007,"increase",23832.8,10353,5095,5258
"328",2162,2000.3,2501.96,501.66,"increase",4502.26,1574,669,905
"329",2172,8542.15,7871.2,-670.95,"increase",16413.35,3308,1786,1522
"330",2175,3160.41,4481.5,1321.09,"increase",7641.91,3508,1390,2118
"331",2178,3884.26,4900.72,1016.46,"increase",8784.98,2605,1159,1446
"332",2180,2945.72,1779.7,-1166.02,"increase",4725.42,1615,1046,569
"333",2190,0,333.81,333.81,"increase",333.81,87,0,87
"334",2192,5289.8,4219.89,-1069.91,"increase",9509.69,3177,1916,1261
"335",2198,2919.11,3502.19,583.08,"increase",6421.3,3232,1592,1640
"336",2201,4272.15,4643.04,370.89,"increase",8915.19,3001,1353,1648
"337",2222,1840.58,2038.72,198.14,"increase",3879.3,2441,1109,1332
"338",2231,1808.02,2028.38,220.36,"increase",3836.4,1445,692,753
"339",2241,12826.35,10694.04,-2132.31,"increase",23520.39,12119,6604,5515
"340",2252,3611.13,6400.67,2789.54,"increase",10011.8,2793,988,1805
"341",2254,4390.46,4436.45,45.9899999999998,"increase",8826.91,2374,1229,1145
"342",2260,3974.93,4120.59,145.66,"increase",8095.52,2272,1151,1121
"343",2268,4511.92,3654.81,-857.11,"increase",8166.73,2355,1185,1170
"344",2274,1369.53,2506.97,1137.44,"increase",3876.5,1204,449,755
"345",2280,3060.48,2508.32,-552.16,"increase",5568.8,2188,1102,1086
"346",2284,4420.81,3867.35,-553.46,"increase",8288.16,4109,2242,1867
"347",2286,5666.29,7038.83,1372.54,"increase",12705.12,5234,2481,2753
"348",2288,6151.82,7067.82,916,"increase",13219.64,3003,1405,1598
"349",2291,2386.42,1607.69,-778.73,"increase",3994.11,1632,954,678
"350",2300,6060.33,5425.39,-634.94,"increase",11485.72,3637,1923,1714
"351",2304,3073.41,3175.44,102.03,"increase",6248.85,3075,1559,1516
"352",2314,1989.74,3471.42,1481.68,"increase",5461.16,807,216,591
"353",2315,3133.08,3437.75,304.67,"increase",6570.83,2104,1029,1075
"354",2318,2843.49,2057.6,-785.89,"increase",4901.09,1600,882,718
"355",2321,8747.31,10094.87,1347.56,"increase",18842.18,6505,3199,3306
"356",2322,2366.41,3405.07,1038.66,"increase",5771.48,2152,847,1305
"357",2325,6984.49,7592.51,608.02,"increase",14577,5366,2571,2795
"358",2331,4049.93,1544.29,-2505.64,"increase",5594.22,1828,1337,491
"359",2333,5485.62,6682.7,1197.08,"increase",12168.32,3699,1634,2065
"360",2335,1951.54,1384.83,-566.71,"increase",3336.37,1176,710,466
"361",2344,3158.82,2130.96,-1027.86,"increase",5289.78,2174,1212,962
"362",2345,5407.39,6150.29,742.9,"increase",11557.68,3647,1714,1933
"363",2348,5533.19,8805.06,3271.87,"increase",14338.25,5109,2092,3017
"364",2363,2928.76,1737.51,-1191.25,"increase",4666.27,1557,991,566
"365",2365,2566.75,2738.73,171.98,"increase",5305.48,1841,919,922
"366",2374,567.95,1110.35,542.4,"increase",1678.3,665,234,431
"367",2379,4226.24,4714.43,488.190000000001,"increase",8940.67,3994,1880,2114
"368",2382,3245.47,3239.09,-6.38000000000011,"increase",6484.56,2293,1258,1035
"369",2383,7505.67,5618.79,-1886.88,"increase",13124.46,4646,2590,2056
"370",2390,4783.42,5044.4,260.98,"increase",9827.82,2747,1366,1381
"371",2391,8728.7,10431.75,1703.05,"increase",19160.45,6993,3184,3809
"372",2396,5180.15,4908.63,-271.52,"increase",10088.78,4195,2087,2108
"373",2419,3616.13,1661.74,-1954.39,"increase",5277.87,2436,1675,761
"374",2423,4806.36,5522.35,715.990000000001,"increase",10328.71,3555,1679,1876
"375",2484,2003.86,1995.25,-8.61000000000013,"increase",3999.11,2206,1094,1112
"376",2492,0,3.79,3.79,"increase",3.79,1,0,1
"377",2499,10.99,0,-10.99,"increase",10.99,1,1,0
"378",2502,4846.55,5311.84,465.29,"increase",10158.39,3893,1734,2159
"379",2515,3438.28,3317.15,-121.13,"increase",6755.43,2553,1243,1310
"380",2516,7655.32,7589.67,-65.6499999999996,"increase",15244.99,4036,2009,2027
"381",2522,1539.48,1780.84,241.36,"increase",3320.32,1409,649,760
"382",2537,1967.27,2494.47,527.2,"increase",4461.74,2430,1129,1301
